"selec","Channel","start","end","bottom.freq","top.freq","sound.files","selec.file"
1,1,0.7737,0.993938412,2.0962,7.7252,"Phaethornis-guy-227574.wav","Phaethornis-guy-2022.Table.1.selections.txt"
2,1,1.6837,1.906836285,2.0726,7.6074,"Phaethornis-guy-227574.wav","Phaethornis-guy-2022.Table.1.selections.txt"
3,1,10.1657,10.391734159,1.8371,8.0078,"Phaethornis-guy-227574.wav","Phaethornis-guy-2022.Table.1.selections.txt"
4,1,16.3237,16.546836286,2.0726,7.3248,"Phaethornis-guy-227574.wav","Phaethornis-guy-2022.Table.1.selections.txt"
5,1,1.6069,1.751793692,1.7193,8.7615,"Phaethornis-guy-238804.wav","Phaethornis-guy-2022.Table.1.selections.txt"
6,1,1.0129,1.154895818,1.7193,8.9264,"Phaethornis-guy-238804.wav","Phaethornis-guy-2022.Table.1.selections.txt"
8,1,16.2441,16.383197944,1.7429,9.1383,"Phaethornis-guy-238804.wav","Phaethornis-guy-2022.Table.1.selections.txt"
9,1,8.2801,8.407606448,1.366,8.8322,"Phaethornis-guy-257788.wav","Phaethornis-guy-2022.Table.1.selections.txt"
10,1,9.2596,9.398697944,1.3425,9.2561,"Phaethornis-guy-257788.wav","Phaethornis-guy-2022.Table.1.selections.txt"
11,1,9.9695,10.10570007,1.4838,8.8322,"Phaethornis-guy-257788.wav","Phaethornis-guy-2022.Table.1.selections.txt"
12,1,3.0471,3.128240467,1.107,8.8322,"Phaethornis-guy-344329.wav","Phaethornis-guy-2022.Table.1.selections.txt"
13,1,4.2527,4.336738342,1.2247,8.9028,"Phaethornis-guy-344329.wav","Phaethornis-guy-2022.Table.1.selections.txt"
14,1,1.5866,1.65904684600001,1.0834,9.2797,"Phaethornis-guy-344329.wav","Phaethornis-guy-2022.Table.1.selections.txt"
15,1,1.8226,1.98488093499998,1.2483,6.6418,"Phaethornis-guy-359439.wav","Phaethornis-guy-2022.Table.1.selections.txt"
16,1,3.4628,3.64246817800001,1.2012,6.5711,"Phaethornis-guy-359439.wav","Phaethornis-guy-2022.Table.1.selections.txt"
17,1,6.8707,7.03877668300001,1.2718,6.1943,"Phaethornis-guy-359439.wav","Phaethornis-guy-2022.Table.1.selections.txt"
18,1,6.0606,6.26924691700001,1.2954,5.5819,"Phaethornis-guy-518285.wav","Phaethornis-guy-2022.Table.1.selections.txt"
19,1,8.0225,8.23694266399999,1.0834,5.6526,"Phaethornis-guy-518285.wav","Phaethornis-guy-2022.Table.1.selections.txt"
20,1,11.1551,11.369542664,1.1305,5.6526,"Phaethornis-guy-518285.wav","Phaethornis-guy-2022.Table.1.selections.txt"
21,1,0.6541,0.84535967299999,1.2954,5.7232,"Phaethornis-guy-541543.wav","Phaethornis-guy-2022.Table.1.selections.txt"
22,1,2.5725,2.75796392499996,1.1305,5.7703,"Phaethornis-guy-541543.wav","Phaethornis-guy-2022.Table.1.selections.txt"
23,1,4.6706,4.870553295,1.1776,5.9823,"Phaethornis-guy-541543.wav","Phaethornis-guy-2022.Table.1.selections.txt"
24,1,19.0322,19.203174556,1.1776,5.3228,"Phaethornis-guy-665512.wav","Phaethornis-guy-2022.Table.1.selections.txt"
25,1,22.246,22.440157547,1.2247,5.4877,"Phaethornis-guy-665512.wav","Phaethornis-guy-2022.Table.1.selections.txt"
26,1,26.4334,26.633353294,1.0363,5.3464,"Phaethornis-guy-665512.wav","Phaethornis-guy-2022.Table.1.selections.txt"
