Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Spectrogram 1	1	0.773732314	0.993970726	2096.2	7725.2	Phaethornis-guy-227574.wav	0.7737
2	Spectrogram 1	1	1.683664699	1.906800984	2072.6	7607.4	Phaethornis-guy-227574.wav	1.6837
3	Spectrogram 1	1	10.165741318	10.391775477	1837.1	8007.8	Phaethornis-guy-227574.wav	10.1657
4	Spectrogram 1	1	16.323723121	16.546859407	2072.6	7324.8	Phaethornis-guy-227574.wav	16.3237
5	Spectrogram 1	1	29.398929672	29.543823364	1719.3	8761.5	Phaethornis-guy-238804.wav	1.6069
6	Spectrogram 1	1	28.804865536	28.946861354	1719.3	8926.4	Phaethornis-guy-238804.wav	1.0129
8	Spectrogram 1	1	44.036090221	44.175188165	1742.9	9138.3	Phaethornis-guy-238804.wav	16.2441
9	Spectrogram 1	1	58.328403784	58.455910232	1366.0	8832.2	Phaethornis-guy-257788.wav	8.2801
10	Spectrogram 1	1	59.307885140	59.446983084	1342.5	9256.1	Phaethornis-guy-257788.wav	9.2596
11	Spectrogram 1	1	60.017864230	60.154064300	1483.8	8832.2	Phaethornis-guy-257788.wav	9.9695
12	Spectrogram 1	1	87.289754318	87.370894785	1107.0	8832.2	Phaethornis-guy-344329.wav	3.0471
13	Spectrogram 1	1	88.495269833	88.579308175	1224.7	8902.8	Phaethornis-guy-344329.wav	4.2527
14	Spectrogram 1	1	85.829225904	85.901672750	1083.4	9279.7	Phaethornis-guy-344329.wav	1.5866
15	Spectrogram 1	1	135.997217064	136.159497999	1248.3	6641.8	Phaethornis-guy-359439.wav	1.8226
16	Spectrogram 1	1	137.637413655	137.817081833	1201.2	6571.1	Phaethornis-guy-359439.wav	3.4628
17	Spectrogram 1	1	141.045313237	141.213389920	1271.8	6194.3	Phaethornis-guy-359439.wav	6.8707
18	Spectrogram 1	1	217.491223570	217.699870487	1295.4	5581.9	Phaethornis-guy-518285.wav	6.0606
19	Spectrogram 1	1	219.453084157	219.667526821	1083.4	5652.6	Phaethornis-guy-518285.wav	8.0225
20	Spectrogram 1	1	222.585685725	222.800128389	1130.5	5652.6	Phaethornis-guy-518285.wav	11.1551
21	Spectrogram 1	1	263.132735848	263.323995521	1295.4	5723.2	Phaethornis-guy-541543.wav	0.6541
22	Spectrogram 1	1	265.051128327	265.236592252	1130.5	5770.3	Phaethornis-guy-541543.wav	2.5725
23	Spectrogram 1	1	267.149188935	267.349142230	1177.6	5982.3	Phaethornis-guy-541543.wav	4.6706
24	Spectrogram 1	1	347.182666888	347.353641444	1177.6	5322.8	Phaethornis-guy-665512.wav	19.0322
25	Spectrogram 1	1	350.396408923	350.590566470	1224.7	5487.7	Phaethornis-guy-665512.wav	22.2460
26	Spectrogram 1	1	354.583836378	354.783789672	1036.3	5346.4	Phaethornis-guy-665512.wav	26.4334
